
[Name]
Point Cloud 1

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ]
9.17911530e-06, 9.99999978e-03, 3.00042592e-02, -1.83691073e-03, -1.37017787e-01, 0.00000000e+00, 1.27153384e-04
9.17911530e-06, 9.99999978e-03, 3.05041634e-02, 1.54206064e-02, -2.58214444e-01, 0.00000000e+00, -1.41978485e-03
9.17911530e-06, 9.99999978e-03, 3.10040601e-02, 2.67574769e-02, -2.85552055e-01, 0.00000000e+00, -3.10269510e-03
9.17911530e-06, 9.99999978e-03, 3.15039568e-02, 1.16325822e-02, -2.90507823e-01, 0.00000000e+00, -4.95358743e-03
9.17911530e-06, 9.99999978e-03, 3.20038609e-02, 4.89513949e-03, -2.90146738e-01, 0.00000000e+00, -6.82119280e-03
9.17911530e-06, 9.99999978e-03, 3.25037576e-02, 4.24654223e-03, -2.89903551e-01, 0.00000000e+00, -8.73707887e-03
9.17911530e-06, 9.99999978e-03, 3.30036618e-02, 3.76073783e-03, -2.89881080e-01, 0.00000000e+00, -1.05959894e-02
9.17911530e-06, 9.99999978e-03, 3.35035585e-02, 3.80594796e-03, -2.89808244e-01, 0.00000000e+00, -1.24453157e-02
9.17911530e-06, 9.99999978e-03, 3.40034626e-02, 3.63663468e-03, -2.89723247e-01, 0.00000000e+00, -1.42622916e-02
9.17911530e-06, 9.99999978e-03, 3.45033593e-02, 3.59166344e-03, -2.89630115e-01, 0.00000000e+00, -1.60554219e-02
9.17911530e-06, 9.99999978e-03, 3.50032635e-02, 3.48264351e-03, -2.89527267e-01, 0.00000000e+00, -1.78165995e-02
9.17911530e-06, 9.99999978e-03, 3.55031602e-02, 3.39137833e-03, -2.89416313e-01, 0.00000000e+00, -1.95449349e-02
9.17911530e-06, 9.99999978e-03, 3.60030569e-02, 3.28259589e-03, -2.89297909e-01, 0.00000000e+00, -2.12365147e-02
9.17911530e-06, 9.99999978e-03, 3.65029611e-02, 3.16541502e-03, -2.89172500e-01, 0.00000000e+00, -2.28884388e-02
9.17911530e-06, 9.99999978e-03, 3.70028578e-02, 3.02397460e-03, -2.89039254e-01, 0.00000000e+00, -2.44973190e-02
9.17911530e-06, 9.99999978e-03, 3.75027619e-02, 2.84803053e-03, -2.88897544e-01, 0.00000000e+00, -2.60599013e-02
9.17911530e-06, 9.99999978e-03, 3.80026586e-02, 2.65657646e-03, -2.88750529e-01, 0.00000000e+00, -2.75736116e-02
9.17911530e-06, 9.99999978e-03, 3.85025628e-02, 2.50399811e-03, -2.88607746e-01, 0.00000000e+00, -2.90366262e-02
9.17911530e-06, 9.99999978e-03, 3.90024595e-02, 2.45980034e-03, -2.88481295e-01, 0.00000000e+00, -3.04472372e-02
9.17911530e-06, 9.99999978e-03, 3.95023637e-02, 2.51723966e-03, -2.88370788e-01, 0.00000000e+00, -3.18013877e-02
9.17911530e-06, 9.99999978e-03, 4.00022604e-02, 2.48985784e-03, -2.88244784e-01, 0.00000000e+00, -3.30901854e-02
9.17911530e-06, 9.99999978e-03, 4.05021645e-02, 2.14469945e-03, -2.88043976e-01, 0.00000000e+00, -3.43014598e-02
9.17911530e-06, 9.99999978e-03, 4.10020612e-02, 1.54669071e-03, -2.87732363e-01, 0.00000000e+00, -3.54275703e-02
9.17911530e-06, 9.99999978e-03, 4.15019579e-02, 1.18391041e-03, -2.87385046e-01, 0.00000000e+00, -3.64774503e-02
9.17911530e-06, 9.99999978e-03, 4.20018621e-02, 1.52235338e-03, -2.87231028e-01, 0.00000000e+00, -3.74818742e-02
9.17911530e-06, 9.99999978e-03, 4.25017588e-02, 1.64312031e-03, -2.87590533e-01, 0.00000000e+00, -3.84838991e-02
9.17911530e-06, 9.99999978e-03, 4.30016629e-02, 1.73210958e-03, -2.88561225e-01, 0.00000000e+00, -3.94984446e-02
9.17911530e-06, 9.99999978e-03, 4.35015596e-02, 2.25919066e-03, -2.89874256e-01, 0.00000000e+00, -4.04682606e-02
9.17911530e-06, 9.99999978e-03, 4.40014638e-02, 5.71760442e-03, -2.90781349e-01, 0.00000000e+00, -4.12848927e-02
9.17911530e-06, 9.99999978e-03, 4.45013605e-02, 3.88688804e-03, -2.90752292e-01, 0.00000000e+00, -4.18174118e-02
9.17911530e-06, 9.99999978e-03, 4.50012647e-02, -7.89951347e-03, -2.87915200e-01, 0.00000000e+00, -4.18659672e-02
9.17911530e-06, 9.99999978e-03, 4.55011614e-02, -1.55175570e-02, -2.72004485e-01, 0.00000000e+00, -4.00086567e-02
9.17911530e-06, 9.99999978e-03, 4.60010581e-02, -2.50388235e-02, -2.41712660e-01, 0.00000000e+00, -3.54817919e-02
9.17911530e-06, 9.99999978e-03, 4.65009622e-02, -1.97413508e-02, -2.00458676e-01, 0.00000000e+00, -2.94464398e-02
9.17911530e-06, 9.99999978e-03, 4.70008589e-02, -1.48617700e-02, -1.52515382e-01, 0.00000000e+00, -2.23562121e-02
9.17911530e-06, 9.99999978e-03, 4.75007631e-02, -8.85395333e-03, -1.03956729e-01, 0.00000000e+00, -1.51535347e-02
9.17911530e-06, 9.99999978e-03, 4.80006598e-02, -3.90403043e-03, -6.17782250e-02, 0.00000000e+00, -8.97420943e-03
